Mode;Popsize;Offspring;MeanIter;MeanMse
mi+lam;50;1;101.8;0.2579
mi+lam;50;2;70.6;0.2578
mi+lam;50;5;41.0;0.2578
mi+lam;50;8;33.2;0.2578
mi+lam;200;1;76.2;0.2578
mi+lam;200;2;54.4;0.2579
mi+lam;200;5;32.0;0.2578
mi+lam;200;8;25.8;0.2578
mi+lam;500;1;75.2;0.2578
mi+lam;500;2;39.6;0.2601
mi+lam;500;5;30.8;0.2578
mi+lam;500;8;24.4;0.2578
mi+lam;800;1;71.0;0.2578
mi+lam;800;2;44.6;0.2578
mi+lam;800;5;27.8;0.2578
mi+lam;800;8;23.0;0.2578
mi,lam;50;1;250.0;5689.8443
mi,lam;50;2;73.8;31.3777
mi,lam;50;5;47.4;0.2578
mi,lam;50;8;30.4;0.2579
mi,lam;200;1;250.0;4940.5264
mi,lam;200;2;72.2;10.6301
mi,lam;200;5;35.2;0.2578
mi,lam;200;8;25.6;0.2578
mi,lam;500;1;250.0;1867.8064
mi,lam;500;2;59.0;0.2579
mi,lam;500;5;31.0;0.2578
mi,lam;500;8;24.0;0.2578
mi,lam;800;1;250.0;380.156
mi,lam;800;2;56.2;0.2578
mi,lam;800;5;29.2;0.2578
mi,lam;800;8;22.6;0.2578
